threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,encoder_decoder_equal
0.6,0,712,1024,6408,801,34,835,6.5234375,6.2578125,1784,0.2177734375,703,0.39405829596412556,4566.31640625,41.017578125,11.535143598180476,0.3160862287477072,0.0858154296875,0.12348190937499481,0.1268541945312478,801,812,1.013732833957553,32,11.618233618233619,2,656,0.0,4584.2235294117645,True
0.6,1,24774,1024,6640,830,34,864,6.75,6.484375,1552,0.189453125,507,0.32667525773195877,2968.60546875,27.57421875,13.405278776976449,0.42819603201172357,0.0618896484375,0.12348190937499481,0.1268541945312478,830,841,1.0132530120481928,16,16.130434782608695,2,477,0.0,2974.4148727984343,True
0.6,2,45142,1024,6755,845,34,879,6.8671875,6.5966796875,1437,0.1754150390625,436,0.3034098816979819,1443.630859375,16.9453125,16.536242038055768,0.5090512528420089,0.05322265625,0.12348190937499481,0.1268541945312478,845,856,1.01301775147929,49,18.622988505747127,2,409,0.0,1452.139489194499,True
0.6,3,27119,1024,7112,889,34,923,7.2109375,6.9453125,1080,0.1318359375,403,0.3731481481481482,1494.064453125,14.880859375,16.387110277575076,0.752277973949661,0.0491943359375,0.12348190937499481,0.1268541945312478,889,706,0.7941507311586051,2,20.33084577114428,2,371,,1494.064453125,True
0.6,4,21139,1024,6543,818,34,852,6.65625,6.3896484375,1649,0.2012939453125,541,0.328077622801698,2375.22265625,24.5078125,14.37376033707748,0.2512776222324458,0.0660400390625,0.12348190937499481,0.1268541945312478,818,829,1.0134474327628362,49,15.07037037037037,3,499,0.0,2389.222003929273,True
0.6,5,19129,1024,6715,840,34,874,6.828125,6.5576171875,1477,0.1802978515625,543,0.3676371022342586,2989.51171875,28.71875,13.374801006937837,0.37617834040957265,0.0662841796875,0.12348190937499481,0.1268541945312478,840,851,1.013095238095238,31,15.046125461254613,2,506,0.0,2998.2957884427033,True
0.6,6,6433,1024,6845,856,34,890,6.953125,6.6845703125,1347,0.1644287109375,409,0.303637713437268,1787.361328125,18.73828125,15.608680036906211,0.27295154674371386,0.0499267578125,0.12348190937499481,0.1268541945312478,856,867,1.0128504672897196,25,19.88480392156863,2,385,0.0,1792.6131243878551,True
0.6,7,38854,1024,6561,821,34,855,6.6796875,6.4072265625,1631,0.1990966796875,636,0.38994481912936846,3854.24609375,35.046875,12.271409199450698,0.3769051901348927,0.07763671875,0.12348190937499481,0.1268541945312478,821,832,1.0133982947624847,4,12.883464566929133,3,584,,3854.24609375,True
0.6,8,22489,1024,6637,830,34,864,6.75,6.4814453125,1555,0.1898193359375,525,0.33762057877813506,1863.2880859375,19.9873046875,15.428003538189978,0.35234425265680824,0.0640869140625,0.12348190937499481,0.1268541945312478,830,841,1.0132530120481928,28,15.395038167938932,3,491,0.0,1868.7629774730656,True
0.6,9,31104,1024,6665,834,34,868,6.78125,6.5087890625,1527,0.1864013671875,638,0.4178127046496398,3806.25390625,32.884765625,12.32582605186671,0.5796944877161219,0.077880859375,0.12348190937499481,0.1268541945312478,834,845,1.013189448441247,2,12.84458398744113,2,538,,3806.25390625,True
0.6,10,21349,1024,6672,834,34,868,6.78125,6.515625,1520,0.185546875,540,0.35526315789473684,2142.7744140625,21.8056640625,14.821039088576855,0.32491001692607735,0.06591796875,0.12348190937499481,0.1268541945312478,834,845,1.013189448441247,40,15.096474953617811,3,513,0.0,2153.288518155054,True
0.6,11,29116,1024,6539,818,34,852,6.65625,6.3857421875,1653,0.2017822265625,713,0.43133696309739866,3749.271484375,33.392578125,12.391334720875523,0.30117910541066123,0.0870361328125,0.12348190937499481,0.1268541945312478,818,829,1.0134474327628362,23,11.42556179775281,3,625,0.0,3756.6086105675145,True
0.6,12,10772,1024,6552,819,34,853,6.6640625,6.3984375,1640,0.2001953125,584,0.35609756097560974,2587.5791015625,26.1845703125,14.001867259403229,0.5116115771561938,0.0712890625,0.12348190937499481,0.1268541945312478,819,830,1.0134310134310134,12,14.029159519725557,3,540,0.0,2590.108504398827,True
